date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:57:47	1401/1401	---M-Z	200	added ('OK')	text/plain	etag:%22106833f-579-49eea8df4a900%22	http://www.cdf.toronto.edu/~ajr/209/notes/sockets/client.c	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/sockets/client.c	(from http://www.cdf.toronto.edu/~ajr/209/notes/sockets/)
19:57:47	1337/1337	---M-Z	200	added ('OK')	text/plain	etag:%221068340-539-49eea8e7dfd40%22	http://www.cdf.toronto.edu/~ajr/209/notes/sockets/client_inet.c	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/sockets/client_inet.c	(from http://www.cdf.toronto.edu/~ajr/209/notes/sockets/)
19:57:47	42479/42479	---M--	200	added ('OK')	image/jpeg	etag:%22106e1c5-a5ef-52c8693a72d80%22	http://www.cdf.toronto.edu/~ajr/209/lect/08slides/08slides.041.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/08slides/08slides.041.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/08slides/)
19:57:47	2810/2810	---M-Z	200	added ('OK')	text/plain	etag:%221068342-afa-49eea8eabc400%22	http://www.cdf.toronto.edu/~ajr/209/notes/sockets/server.c	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/sockets/server.c	(from http://www.cdf.toronto.edu/~ajr/209/notes/sockets/)
19:57:47	1738/1738	---M-Z	200	added ('OK')	text/plain	etag:%221068343-6ca-49eea8ee8cd00%22	http://www.cdf.toronto.edu/~ajr/209/notes/sockets/server_inet.c	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/sockets/server_inet.c	(from http://www.cdf.toronto.edu/~ajr/209/notes/sockets/)
19:57:48	2356/2356	---M-Z	200	added ('OK')	text/plain	etag:%221068241-934-51221771a8240%22	http://www.cdf.toronto.edu/~ajr/209/notes/sockets/server_select.c	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/sockets/server_select.c	(from http://www.cdf.toronto.edu/~ajr/209/notes/sockets/)
19:57:48	1895/1895	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2000:57:48%20GMT	http://www.cdf.toronto.edu/~ajr/209/notes/sockets/?C=N;O=D	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/sockets/indexc052.html	(from http://www.cdf.toronto.edu/~ajr/209/notes/sockets/)
19:57:48	1895/1895	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2000:57:48%20GMT	http://www.cdf.toronto.edu/~ajr/209/notes/sockets/?C=M;O=A	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/sockets/indexf8a0.html	(from http://www.cdf.toronto.edu/~ajr/209/notes/sockets/)
19:57:49	1895/1895	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2000:57:48%20GMT	http://www.cdf.toronto.edu/~ajr/209/notes/sockets/?C=S;O=A	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/sockets/indexbfec.html	(from http://www.cdf.toronto.edu/~ajr/209/notes/sockets/)
19:57:49	39092/39092	---M--	200	added ('OK')	image/jpeg	etag:%22106e1c6-98b4-52c8693a72d80%22	http://www.cdf.toronto.edu/~ajr/209/lect/08slides/08slides.042.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/08slides/08slides.042.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/08slides/)
19:57:49	1895/1895	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2000:57:49%20GMT	http://www.cdf.toronto.edu/~ajr/209/notes/sockets/?C=D;O=A	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/sockets/index30b5.html	(from http://www.cdf.toronto.edu/~ajr/209/notes/sockets/)
19:57:49	1627/1627	---M-Z	200	added ('OK')	text/plain	etag:%221068339-65b-410a1e533d100%22	http://www.cdf.toronto.edu/~ajr/209/notes/sec/krt.c	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/sec/krt.c	(from http://www.cdf.toronto.edu/~ajr/209/lect/12.html)
19:57:50	1857/1857	---M-Z	200	added ('OK')	text/plain	etag:%2210682ac-741-52df8a8e0d700%22	http://www.cdf.toronto.edu/~ajr/209/notes/sec/krtstyle.c	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/sec/krtstyle.c	(from http://www.cdf.toronto.edu/~ajr/209/lect/12.html)
